first name,last name,mailing address,phone number,email,envelope name,address 1,address 2,city,state,postal code,country,tags,party,how do you know...,who do you know?,rsvp
Ada,Okafor,,,ada.okafor.sample@example.com,Ada Okafor,,,,,,,"Bride Guests, Full Day guest",party-001,College friend,Bride,Yes I will be there!
Emeka,Nwosu,,,emeka.nwosu.sample@example.com,,,,,,,,"Bride Guests, Full Day guest",party-001,College friend,Bride,Yes I will be there!
Grace,Adeyemi,,,grace.adeyemi.sample@example.com,Grace Adeyemi,,,,,,,"Groom Guests, Half-day guest (Trad)",party-002,Cousin,Groom,Yes I will be there!
Tunde,Bello,,,tunde.bello.sample@example.com,,,,,,,,"Groom Guests, Half-day guest (Trad)",party-002,Cousin,Groom,Yes I will be there!
Fatima,Suleiman,,,fatima.suleiman.sample@example.com,Fatima Suleiman,,,,,,,"Bride Guests, Evening Guests ( After Party)",party-003,Work colleague,Bride,Yes I will be there!
Chinedu,Eze,,,chinedu.eze.sample@example.com,Chinedu Eze,,,,,,,"Groom Guests, Full Day guest",,University friend,Groom,Yes I will be there!
Ngozi,Obi,,,ngozi.obi.sample@example.com,Ngozi Obi,,,,,,,"Bride Guests, Full Day guest",,Sister,,Yes I will be there!
Kwame,Mensah,,,kwame.mensah.sample@example.com,Kwame Mensah,,,,,,,"Groom Guests, Half-day guest (Trad)",,Family friend,Groom,Regretfully Decline
Amara,Chukwu,,,amara.chukwu.sample@example.com,Amara Chukwu,,,,,,,"Bride Guests, Full Day guest",,Neighbor,Bride,
Segun,Fashola,,,segun.fashola.sample@example.com,Segun Fashola,,,,,,,"Groom Guests, Full Day guest",party-004,Best man,Groom,Yes I will be there!
Yemisi,Fashola,,,yemisi.fashola.sample@example.com,,,,,,,,"Groom Guests, Full Day guest",party-004,Best man's wife,Groom,Yes I will be there!
Ibrahim,Abdullahi,,,ibrahim.abdullahi.sample@example.com,Ibrahim Abdullahi,,,,,,,"Groom Guests, Evening Guests ( After Party)",,MBA friend,Groom,Yes I will be there!
Ronke,Adebayo,,,ronke.adebayo.sample@example.com,Ronke Adebayo,,,,,,,"Bride Guests, Half-day guest (Trad)",,Aunt,Bride,Yes I will be there!
Peter,Okonkwo,,,peter.okonkwo.sample@example.com,Peter Okonkwo,,,,,,,"Groom Guests, Full Day guest",,Childhood friend,Groom,Yes I will be there!
Blessing,Nwachukwu,,,blessing.nwachukwu.sample@example.com,Blessing Nwachukwu,,,,,,,"Bride Guests, Full Day guest",,Gym buddy,Bride,Yes I will be there!
